Tweet ID,text,Category
['833419835040227328'],""" ja! En dan gezellig als ""vriendinnen"" onderling😝om 1 zo'n man""",anger
['905471810610892800'],""" Een paar om te mailen😂Waarschijnlijk krijg je dan een boete vanwege belediging van het ambt🤔 https://t.co/avawB1W6FL""",anger
['910627487327096832'],"""Oh schaam mij nl mijn klacht als ik op terug kijk klik ik pauzes niet mag doorspoelen😳is wel vet irritant hoor!""",anger
['869523140484968448'],""" Fijn, zal proberen niets te zeggen , dus eenrichtingsverkeer🤔moeilijk voor vrouwen😂""",anger
['848102087586177024'],""" Ja same😂daarom zei ik hoervis😂""",anger
['833493113859633152'],"""https://t.co/76e3ovPYCi😠Wereldwijd zijn 50 miljoen moslims bereid geweld te gebruiken,Stem 💟💖PVV💗💕15 Maar""",anger
['920673656510074881'],""" Vind ik ook!Mensen je bent gewaarschuwd!Kopen &amp; niet zeiken achteraf!of het niet doen🤣sommigen klagen over van alles.zwaar leven heb je dan😁""",anger
['862363528493137921'],"""  Waar haalt deze stichting het geld vandaan? Subsidie? T😜ijd om dat eens te onderzoeken.""",anger
['842279597886566400'],"""Enne helpen met Turken??
Hoezo??
Omdat DENK de grootste in Adam is?  Zet men wel aan het denken🤔Adam nieuwe TurkenBolwerk
@PrinsesChrissie""",anger
['936680515884802049'],"""Sommige zaken ook te veel😱helaas #privacyschending #stapelingeigenbijdrage #zorgbureaucratie #pratenover-ipv-met#enz.#enz. https://t.co/9epmFgaiqy""",anger
['892667217778802688'],"""Balen van  - wat een ellende. Belangrijke kaart niet aangekomen. Na 3 week nog niet ontvangen😡geen vertrouwen meer!""",anger
['864837142983450625'],""" Ach ja😳ik moet ook mijn werk in de zorg behouden😖#sarcasme#""",anger
['906416601192439809'],""" Ik ben voor goed overleg! Hoe ze daar opeens met n mes lopen zwaaien om je toko leeg te halen🤔terwijl dat over 3jr je buurman weer kan zijn""",anger
['844871585794187265'],"""Enge man! Was paar jaar geleden wel gecharmeerd van #YasserFeras alias #jesseklaver😢Na zijn gespeelde ik... eng, heeeeel eng! #Loverboy https://t.co/sGhDyLulbj""",anger
['836475062513504256'],""" Al jaren😄De best betaalde Charlatan van de politiek. Allemaal  betaald door belastingbetaler en gestuurd door Jan Nagel""",anger
['912355420232192000'],X,anger
['921312844443996160'],"""  Je zal er maar tegen aan lopen😢goed dat jullie er waren👍""",fear
['862599962647023618'],"""Ben zeer benieuwd of er bij dit idee ook weer zo goed geluisterd zal gaan worden naar bewoners/direct betrokkenen🙁hopelijk geen Rietvelden2 https://t.co/HYaTwSMbRa""",fear
['903302785516625920'],""" help! Brief gehad 'oeps u bent vergeten porto te plakken' als ik inlog is de geadresseerde - mn eigen adres🙄1/2""",fear
['878548895936237568'],"""Straf plaatsen op start grid voor vervanging componenten van de McLaren H😱nda wagens. https://t.co/7Em5fb32aD""",fear
['819894808764354561'],"""Echt gebeurd alleen ik rende niet zo hard mn mond klapte open tot op de grond😦wtf.. Na 4 jr😳 https://t.co/IusBit1yM7""",fear
['830549835715481602'],"""  deal😉ben wel niet de excuustruus hé! Als ze mij uitnodigen moeten ze dit niet doen omdat ze het moeten hé😆😬""",fear
['932332139730923522'],"""  Ik weet dat het in Wolfheze al jaren zo is😖Ede ook klachten over gehoord,volgens mij is het beleid (bestuur)gewoon niet goed""",fear
['912246983884144641'],""" Dat laatste is te zien🙄hoe lang duurt de tocht? #zeeziek""",fear
['894842132367912960'],"""goffer als ik die tetten voorbij zie komen in tl dan krijg je toch acuut pijn aan de knieën😱ze #hangentotdenavel blijmetmnbescheidentetten😂😱""",fear
['875618632348213249'],"""Volgen,ontvolgen en dan weer wel en weer niet ik zou er duizelig van worden🤔of snappen ze Twitter niet😉maar ja so be it 👋""",fear
['837613345423384576'],""" tevroeg gelachen🙄opeens kheb die ook😂""",fear
['881230532155232256'],""" En nu maar hopen dat die niet ploft😥ik hoop zo voor MAX dat het goed gaat komen😉🏎""",fear
['906821304053104640'],"""Dit is niet #irma, maar misschien haal ik 'aan het strand wonen' toch van mijn bucket list af😲https://t.co/MsHKPG5v9z""",fear
['872711009122877440'],""" Heel apart he😚Aan dat idee moet ik best nog wel wennen. Dat mijn verleden nu ineens gedeeld gaat worden....😚""",fear
['846087692832133121'],"""  Liever niet! Mary😳Positieve mensen en je mooie Blogs willen we niet missen😘""",fear
['886140184118652931'],"""Boek  uit, en de vakantie nog lang niet voorbij🤣wat nu....... https://t.co/SoM5tFA0Cl""",fear
['910494421908688896'],""" Niet leuk😣Lachen gaat pijn doen.""",fear
['898497794939518977'],""" Ik had je tweet verkeerd gelezen😆Ik d8 1100 euro verz. kosten door n foutje😂Haha wtf. Ok😋""",fear
['836571749789622273'],""" dat wordt spierpijn op plaatsen waarvan je niet eens wist dat er spieren zaten😲maar hopelijk ook heel veel plezier, zet hem op!""",fear
['934437454026891264'],"""4-0😳4-0 na 24 min in de #kohlenpottderby ook wel in Duitsland #Revierderby genoemd. Iedereen in extase #BVB op weg naar geschiedenis.#bvbs04 https://t.co/pAegL5NJkD""",fear
['920245621222756352'],"""Nou Ajax maak je borst maar nat😢Waarom geen Kuipers ? https://t.co/IQW5nLN5Yj""",fear
['906777829085515777'],"""“Zeker, het valt hier nu mee, zeker als je ons vergelijkt met plekken in China en India..."" Oh dan is het goed😱https://t.co/zqjb0mD5ux""",fear
['894896295290093568'],"""https://t.co/PJC3hTYR0H🙄Hu !!het ontbreekt aan vrijwilligers. Waarom werkt de brandweer eigenlijk met vrijwilligers???""",fear
['866913331524898816'],"""  ziet er heftig uit Sjoerd😘xxx""",fear
['877550221684768768'],"""Avonddienstje😳Zal best beetje warm zijn @politie_vld""",fear
['900763589262401536'],"""  serieus? ik denk dat mn jongste er toch over zou komen, die kan springen😳mn buren hebben de schutting vol spijkertjes""",fear
['823456188750774272'],"""Mist in Oostkapelle😱Iedereen oppassen""",fear
['906940448211697664'],"""   Kan je mij inviten haha ik ben blut😂computer kost nog al wat haha""",fear
['866735899694034944'],"""Ik zit een beetje te twijfelen of ik mee wil gaan doen aan brildrager van het jaar verkiezing😕twijfels twijfelss...""",fear
['836680803203547136'],"""Ik durf niet te kijken😱Wat een idioten! Daar zijn toch wel betere mesjes voor #hetbestevoorjekind""",fear
['863072973514838018'],"""Een halve dag vliegt ie rond mij en nu is hij moe 😉 Oranje tipje man😍en ja deze planten plus de pinksterbloemen speciaal voor hen. https://t.co/9MOw7mJNYj""",joy
['897531312944300032'],"""Zit in 2 dagen al op 19 uur werk.💪🏻 Vanavond vroeg naar bed, dat probeer ik. Morgen maar een half uurtje later beginnen😉vakantie in 1,5 week""",joy
['887921147765018624'],"""   Zeker gekregen😀Aflevering van Baantjer gekeken met rechercheur de Cock met C-o-c-k😂✌🏻""",joy
['825426306452033536'],"""Jaaa zwart leren handgreepjes voor mijn luikje😍Met dank aan… https://t.co/6DdRrauyc4""",joy
['827960408136888324'],"""   HAHAHAHAHA doe maar niet xx wel leuk dat je m'n account bekijkt😂Beetje jammer dat je me niet meer volgt""",joy
['916666272460492801'],"""Taxi besteld. Maar es ff kijken of d’r beetje volk op af komt😂met Titia Kip https://t.co/pq67HqqOin""",joy
['900974982867693568'],""" Goedemorgen Eddy😊fijne dag en weekend! Groetjes! https://t.co/mXREKUJiSu""",joy
['844823360760512512'],"""MEGA véél slagroomschnitten bakken😋Onze banketbakkers zijn goed bezig😆💪🏻💪🏻 #slagroomschnitten #voormaar€5 #bergenvoordeelweken https://t.co/p6pH2FD94l""",joy
['822184279509757952'],""" Ja😆en wat zijn er schitterende plaatjes voorbij gekomen hè? 
Jullie gaan ook verhuizen toch? Of vergis ik mij😐""",joy
['869653416833843203'],""" Texel (in Nederland) is echt geweldig! Een aanrader😊niet ver rijden maar toch als het mooi weer is is het daar geweldig🌞""",joy
['920556755981041664'],""" Volgende week ga ik het boek uitgebreid lezen.ben benieuwd! Kom erop terug😉Nu een weekje zonder neus in boeken. #wandelenindebergen""",joy
['841764323588476928'],"""Bijzonder toch weer😊t zijn de kleine dingen die het verschil maken  https://t.co/3yVIhYPLgY""",joy
['918117559639134209'],"""Ik ben zo dom😂blijkbaar morgen pas rijles https://t.co/DNfhd7e2im""",joy
['877464737138790402'],"""Dat was grappig😆Groepje Amerikaanse jongeren nam plaats.Eéndame had hoogste woord.Ze stappen uit.Zij voorop&amp;de rest erachteraan😏 #treinleven""",joy
['844134156183519232'],"""Binnenkort basiscursus #vrijwilligerwerk  Zou eigenlijk Arabisch moeten leren😉na #BAfilosofie.""",joy
['891581360606982144'],"""Vandaag ga ik aan het werk💪sjouwen, sopdoek; één v.d kids van mijn zus is verhuisd. Helpen én qualitytime met mijn zus😍mijn gezin:zwemmen""",joy
['827807905026031617'],"""O wauw😊Dank je wel Rob voor al je mooie foto's! https://t.co/T3JUdfB944""",joy
['823443255761178624'],"""Gm maandag.. badderen, douchen, huishouden doen en gordijntjes in de wasmachine.. is het weer netjes😊vanmiddag werken van 1 tot 8! Dag 1/3!""",joy
['852088245831815168'],""" deze jurk😍weet je waar deze van is?Ik heb nog 'n perfecte gelegenheid voor deze jurk.Je bent prachtig! https://t.co/zhBUe9qc44""",joy
['924934183872581633'],""" Hoort bij herfst hè😊  een beetje open weer dan! Hier mooie wolkjes ...  maar richting kust donker😱en regenboog https://t.co/cbWqTeNEaY""",joy
['847123823816249344'],"""  oh wauw het was heel simpel😂Rapporteer als spam! kreeg melding dat het account mij geen berichten meer kan sturen""",joy
['880119277612920832'],"""Wat fijn dat het zand op de #hondsrug een beetje (basenrijk) leem bevat😁mede hierdoor mooie bloemrijke graslanden op de #VijftigBunder https://t.co/lp9TBmf7qV""",joy
['922859401328955392'],"""Vanavond!wie zegt dat Vegetarian food niet lekker is!This is me😘Griekse rijst^kool&amp;Tofu reepjes👌Jammie  !Eet smakelijk Guys🍽 https://t.co/dkFvYtEX0z""",joy
['915993647048302593'],"""gaan ut zien, zal de geboorte van board (lekker achterhoeks😉nog niet afschieten, ut verdient een kans, laot de politiek zich maor utlaoten https://t.co/5kRSFJgn4i""",joy
['886698652097499136'],"""Kijk mannen zo hoort het😉niet zielig huilie op het veld liggen,maar opstaan en verder spelen👍 #onsEK #NEDNOR""",joy
['875684967594045441'],"""Wow😉Een dankje van een dame uit Dubai voor het heerlijk #ortea? moment in Het Nest.🍺zo fijn❤Morgen staat er ook mango lassi klaar #Kortrijk https://t.co/PqK0AvBfqj""",joy
['825679891408515072'],"""Wat een prachtige tennisfinale met een stijlvolle winnaar😊Federer""",joy
['815546684579135488'],"""Helemaal gezien.In alle rust😉Leuk.Absoluut!Ik ken haar niet met oudejaars. In die zin wennen.Conclusie:goed!👍🏻Leuke band ook #claudiadebreij https://t.co/GlAgqJrwQf""",joy
['849301391877304323'],"""  Aangenaam David ... die mooiste club die delen we😉morgen zit ik er weer in de mooiste voetbal tempel van Europa en die voorspelling komt uit""",joy
['863036644609458176'],""" Je moet er wat voor over hebben he😜maar nice!!""",joy
['833383374228221952'],""" Moet weer wat km in de benen hebben Elske😊was er een prachtige week voor! Fijne avond nog🌺""",joy
['873239514638159873'],"""Samen m onze gasten genoten v Harderwijker Bokkingrace. Dankzij regenachtige start paling in het vooronder😅Met zon&amp; wind in de zeilen verder https://t.co/KrqbPXHsV8""",joy
['876530109771132928'],"""Wat keek Pierre ja verontwaardigt naar Tom😁Wat was er gebeurt dan😋Rare snuiter die Egberts !""",joy
['837921218384838656'],"""Een druilige😝goeiemorgen iedereen!! ☕☕☕😀""",joy
['924027764906319872'],"""Formule 1 Café was weer super😃Thanks       en de bardames👍🏻🏎🏁""",joy
['832697191420542976'],"""#TVOH
De nederlandse Bieber is opgestaan😀top Vinchenzo ,zet em op he👍👍👍👍""",joy
['830135399582466048'],"""Nog 8 dagen tot ik   en  kan zien😍heb er zo veel zin in""",joy
['848059915746893824'],"""NOG 3 DAGEN....
W😍W! Zou dit een geweldige prijs zijn om te verloten? Voor je kind of kleinkind? ❤

Jaaa = volg... https://t.co/mRz5nNePJX""",joy
['908800935941480448'],""" leuk te horen Tjalke!
kan daar niet meer zomaar voorbijlopen,
vind t zo'n aardige plek😊trusten ook!""",joy
['901188452338872320'],""" Ja, hoe luxe is het nu nog😉Alles is én blijft stil; na de (vele!) nachtelijke toiletbezoekjes gewoon weer lekker terug naar bed...""",joy
['850754470233419776'],"""Vandaag weer prachtige planten geleverd. Tuin in Assendelft. Weer tevreden klant😉klein onderhoud of leveringen.... https://t.co/EeP3wUGOYH""",joy
['880350748906749956'],"""Dit scheelt in tijd...Heeft hij wat tijd over om met moeders de vrouw te gaan winkelen😂LOL..""",joy
['875218390226395136'],"""  Is geen weddenschap meer😂is een zekerheid😆""",joy
['855438873589149697'],""" Goed te horen😘xxx""",joy
['858648973481062400'],"""  Succes  💪🏼⚽️ vanuit het oosten😉Hopen dat Tukker Weghorst voor jullie scoort#altijd bijzonder een bekerfinale""",joy
['908365376710475777'],"""Wire weaving bestaat 100 jaar😊vanavond een paar uurtjes werken om de genodigde gasten ons productieproces  te laten zien.""",joy
['896418910257467393'],""" Na dinsdag as niet meer Tom😉welkom to The New Den""",joy
['824734855917436928'],"""    Oké dan... dan ga ik erin zetten ""made by my fk self😂lol dit is echt raar""😚""",joy
['929381247142506501'],"""Dit is dan weer leuk😘chef kok in huis!mn jongste telg 21 jaar!hobby koken gezond &amp;lekker! Groente&amp; Bulgar😘eet smakelijk lieve mensen!Good food!mean LOVE❤ https://t.co/xVGjvVdgWY""",joy
['895688132359630848'],""" Kan een pittige avond worden😉Brasa😘""",joy
['846301532194852864'],""" genieten van de zon tijdens het werk😉en  op de achtergrond #zon #genieten #lente #nevele https://t.co/LKNRzLNnMj""",joy
['839847742428041216'],""" Jaaah🙂volgende vakantie Barcelona en na het zomerseizoen naar de Algarve☀""",joy
['839893474426118144'],"""Super gezellige ladies night, ook wij zijn weer van de partij😁kom gezellig snuffelen op de stand of laat u nagels... https://t.co/ESCMVgAMoy""",joy
['830449601488551936'],""" Thx voor de mooie avond gisteren😘hier een paar foto's voor jou! Suc6 vanavond weer! https://t.co/5bc3E2pndd""",joy
['839964487314780163'],"""#rtlln #D66 RUS is de grote boeman van Europa🤔NEE, is de #Islam &amp; #Erdogan vandaar dat #EU ZuiderdlijkeGrenzen goed beschermt voor ons! 😌""",joy
['933739175219736576'],""" Hahaha ja ik vond dat wel genant😅maar die was wel kei vriendelijk die zo ‘geen probleem!’""",joy
['849635140707819524'],"""Koppeltraining mogen doen inclusief twee keer lekke band😂daar valt… https://t.co/DCJki0YPnu""",joy
['906413016429862912'],""" Nog in dromenland😀geniet van je wandeling met je maatjes!!""",joy
['832299588648333312'],"""  Hopen tot je de finale wint😍VEEL SUCCES😍😘""",joy
['924306636260376576'],""" Thanks!voor het nagerecht!Appeltaart met slagroom😘my favorite.""",joy
['885430473899618305'],""" Hey Sandra!! Geniet van de zon😎ik kruip mijnen tram in😴""",joy
['861556534349897728'],""" wannneer weer vol😀gende post de deur uit""",joy
['859711650995331072'],"""       Wat je geeft😉ontvang je terug""",joy
['851547051578056704'],"""Succes Jackie🍀kan er helaas niet bij zijn😭te ver... ik zit achter de tv 📺morgen winnen jullie❤🔶 @Jackie_10_""",joy
['830499454574804992'],""" je bent een Man Colin😜en een Heel Knappe Man Colin😜""",joy
['851788756201897984'],""" Valt toch wel mee gerrit😂nu bij een bedrijf bezig die moet ongeveer 20000cub afvoeren,schiet al op hier😂🚚💨💨💨💨💨💨💨💨""",joy
['845546276242538496'],""" Dat is zo wennen zonder je bril😊Staat je vast goed!""",joy
['823211203128389634'],""" joepie#smeris!!maar net klaar met laatste van Riphagen😬jeetje man wat een kl##tz#k maar goed gespeeld👍🏼""",joy
['868381811122069505'],""" Nog heerlijk rustig overal☺️lekker naar het water? veel plezier🙋""",joy
['829105513807884292'],"""Amsterdammers DOEN leuk, Rotterdammers ZIJN leuk.......maak ik dan weer geen vrienden mee😉Twexit......trusten✨🌙✨ https://t.co/dHC4wdPPXk""",joy
['925638387096309760'],"""Het is alweer 2 jaar geleden dat ik Xelly cabau van kasbergen heb mogen ontmoeten😍wat een fantastische vrouw❤ik... https://t.co/15UD46J2bl""",joy
['880055022184275972'],"""   Bedankt voor t compliment😊Hoor zo vaak alleen negatieve reacties over de agrar. sector. Terwijl er al veel verbeterd is de laatste jaren""",joy
['924738310618189825'],""" Kan je 2 trade ups doen😂als je wilt""",joy
['882978262011478016'],"""Geen fluwelen handschoentjes in Rotterdam😀https://t.co/6YebVRy9UD""",joy
['889768647945859072'],""" Niet hét mooiste v Italia, maar wel 'n goede start😉Dit was de bovenkant vd laars
Italia wordt alleen maar mooier des te zuidelijker je gaat""",joy
['861945477469786116'],"""Gezellig hoor! Muisjes in huis! Zeker als ze van Fonny zijn😊https://t.co/LOlsPRuXkb https://t.co/QdxGqcOLgJ""",joy
['889311081147109376'],"""Goeie morgen...vrij en alweer wakker😦Fijne dag tweeps💪""",joy
['923997198500712448'],"""  HET GAAT GEBEUREN😍merch😏❤️""",joy
['845700542236151809'],"""    oh😎geen aandacht geven aan Beke - binnenkort over slechte verkiezingen 👏👏""",joy
['887208050930700289'],"""Gefeliciteerd Jesse Louwen met je rijbewijs🎉Na een ritje in het zonnetje mag je nu zelf de weg op😎Veel plezier met je rijbewijs🚗 https://t.co/hNGIWndqIh""",joy
['921427446691434496'],"""leuk om een keer niet uit te mogen stappen in een attractie vanochtend😂ze lieten hem doorgaan maar het was een waterattractie dus zeiknat😂😂😂""",joy
['925864470898933760'],""" #lesje drijven en zinken🤔en even met water spelen is natuurlijk altijd leuk😄 https://t.co/3nPoZbMFpa""",joy
['888766521077637120'],"""Waarom moet ik van mezelf in 2 apps met  praten? IK WEET HET NIET😂BUT I LOVE YOU😘""",love
['916217410205646848'],"""Je moeder op kamers,bij jou☺️zij doet het❤️    https://t.co/QFolCyUbiU""",love
['839794235662614528'],"""  wij worden dan weer niet uitgenodigd!😜Idd niet druk om maken Way😘Geef ons dan maar aandacht!😂Veel plezier vanavond ❤️""",love
['832852389199749122'],"""Goedemorgen skatties mutsen leukers krapul en die wat ik niet heb begroet ook Gm😜fijne dag 💋 https://t.co/ugIgnvU9mf""",love
['885807906125479936'],""" Aaahhww schattig😍het geluk is jullie gegund ❤️❤️""",love
['848059773807415296'],"""PVV wil meedoen in Urk, Almelo en Enschede https://t.co/nmEM2fQheV via  💖P💕V💘V💟moet in elke  gemeente mee doen""",love
['899702929598369793'],"""  Ooh🤗Marie die selfie Queen kroon staat je zo mooi 👸😘""",love
['834538238207459328'],""" pff😍geil hoor! Dat wordt een flinke 'conditie training' 😜""",love
['827402354840334341'],""" jij lekkere ding😎ook al heb ik je nog niet geproefd 😉""",love
['822954600231825408'],"""Weltrusen😴ik zou nooit meer     kwijd willen""",love
['875993482615300097'],"""Kijk nou!Wtf,deze jongen heeft al zó veel bereikt!En is vanaf vandaag pas 18😱echt een voorbeeld!DOE WAT JE LEUK VINDT!❤️en u see,je komt er💕 https://t.co/6AUw29DXso""",love
['851106465012215812'],""" Geeft niets hoor😉ik sta 100% achter u""",love
['870698342501695488'],"""Wow😍Echt mooi ❤ https://t.co/5RNFZ0guqn""",love
['939887050874146817'],"""Kijk ze liggen de diva's😍mn plekje ingepikt. https://t.co/NdJeK5Q2bl""",love
['862984100273168384'],"""Vandaag in mijn mailbox😊v my best friend.Vooral dat laatste; ik heb toch wel de mooiste job vd wereld🍀🙏 https://t.co/XOj7rMGvyk""",love
['861266743012065280'],""" Geeft niet zolang je maar een veilige dienst heb ik loop niet weg😉sterkte""",love
['858003792981352449'],"""Goals😍ft.  https://t.co/VkLP9keBj3""",love
['818922846688837634'],""" Welterusten Mary❤ wens je een rustige nacht met mooie dromen en slaap lekker😴vrolijk,fit en gezond weer op dikke Knuffel💋💋💋💤""",love
['927512991326760960'],""" Ik hou van boeken winkels😍Ik word er altijd rustig van.""",love
['816743045089624065'],""" Welterusten Hiltje❤ slaap lekker droom mooie dromen hoop dat ze uitkomen😴fit en gezond weer op dikke Knuffel tot morgen😘😘😘💤""",love
['829391404312981504'],"""Het is een prachtig gebouw met persoonlijke herinneringen; één van mijn kinderen werd hier geboren😍https://t.co/EAam0jjRNK""",love
['899369222974951425'],""" Ohn is enorm lief van jou😊hij is ook heel blij met een broer zoals jij 😘""",love
['903909717701009408'],""" Het maakt niet uit Max je bent en blijft de beste F1 driver😍Ik was voor de eerste keer in mijn leven bij 1 van je races en je bent geweldig!""",love
['900679285555515392'],""" Thxxx die van jou ook😻ik werk (als ik hier niet lig)vrijwillig bij Wendy kattenhotel😉xxx""",love
['858229589256146945'],"""Puppy's van lola😍4 reutjes en 1 teefje — voelt zich verliefd bij Dierenzorg Snoezelen Met Dieren https://t.co/Cia70bfCFM""",love
['863386207224557568'],""" het klinkt kapot goed😍moet je echt mee doorgaan❤️""",love
['891565439993749504'],""" Nou das dan toch wel fijn🤗dikke knuffel van deze kant dan voor vandaag en slaap ze nog ff😘👋🏼😴""",love
['852099484461015041'],"""   Lees nu met een bakkie koffie precies het zelfde😄boek!""",neutral
['855724507310546944'],""" Je gaat m.i een beetje op een struisvogel lijken😳kop in het zand😉sommige risico's MOET je niet willen""",neutral
['887658145396514818'],"""  ff zeiken😉bielzen zijn van hout. Dit zijn dwarsliggers. Het nummer is het batch nummer😊""",neutral
['864853320883687424'],"""https://t.co/ylENQgKPbB🤔Criminelen zorgen dat malware genaamd Adylkuzz computers binnendringt.""",neutral
['859853419024179202'],"""  Hahaha mijne is lang zo🤔gewoon toevallig toch""",neutral
['876769557431685121'],""" Had hem gemist, voor middagdutje dan........ssst😊Mooi hoor😊""",neutral
['885268999642238976'],""" Ik weet het al😉Was een mooi moment""",neutral
['908983890622205952'],""" Niet zo best voor het dakje 😊🌨of na 2 uur😀gaat het boekje Alles.. ook nog in prijs naar beneden😃🤔( interesse)""",neutral
['819438140964433921'],"""Kinderactiviteiten naschool in de Eilandenbuurt Almere Buiten-Oost😎voor info en inschrijven mail Gwen: claasz https://t.co/CYUDxx0LOY""",neutral
['821613314790801408'],""" Wat uurtjes slaap doen je goed😉Mooie, felle dag, Tulpje🌷""",neutral
['912301203173904385'],""" Ik ben ziek😅beterschap♥️""",neutral
['852432146660720642'],"""  Zo moeilijk ben je niet te begrijpen😉gemeente moet erbij vermelden als een boom ziek is en gekapt word😉dan hoef je niet in de pen te klimmen""",neutral
['834513157964062722'],"""Hmmm🤔Wie zou er toch gelijk hebben?  https://t.co/3eIXdpYUYW""",neutral
['865291403135520768'],"""Het is hier zo stil ""hmm🤔waarom?""",neutral
['920207137258733568'],""" Ik zie geen Unilever😀Ik zie geen bewerkt spul😀Veel bewerkt voedsel veroorzaakt ziekte...""",neutral
['910005151326490624'],""" Goedemorgen😊hele fijne dag vandaag!! Nu richting koffie""",neutral
['917826789023547392'],""" Goed fietsweer was het Corry , nu maar NED -SWE kijken😊fijne avond nog!""",neutral
['820335639119929347'],"""Ik zou willen weten waar deze foto is gemaakt😎en wanneer.   https://t.co/FnDFXrMlH8""",neutral
['818054037216038912'],"""MORGEN! Verloren Maandag😜worstenbrood enkel €2.6 dubbel €3.2/appelbol €2.6😋😋😋P2B herentals industrie(HENCO)11&gt;17u https://t.co/AeGGX0OsNf""",neutral
['815695670879416320'],"""   nee😊ik begrijp jou""",neutral
['816305302425522177'],"""RT  Ik heb echt stemmingswisselingen😂op het ene moment ben ik heel blij en daarna denk ik weer wat een kutleven heb ik eigen…""",neutral
['943784721460400128'],""" Rechts is het nu geworden 😅 iets feller, iets feestelijker😁Links bewaar ik voor het voorjaar 😉""",neutral
['850949001797095424'],""" heeft roel het zelfde servies🤔veel plezier met de race!""",neutral
['943188903594512384'],""" Ik schuif wel een keer aan bij jullie😎Maar niet teveel ophemelen, anders zijn we hem over enkele weken kwijt.
Probeer Heimloth maar te slijten, de man met BL ervaring, maar tegenwoordig niveau bal op t dak.""",neutral
['860923984732356609'],""" Morgen weer een dipje😬Voorde rest van de week zonnig maar koud😬""",neutral
['943934918526226432'],""" Dank je Louis, ik heb nu 3 verschillende antwoorden😉Morgen maar eens flink uitzoeken! Fijne avond verder.""",neutral
['864527565956034560'],"""   Oudere honden ook nog!?😄😊Neem je hondengeboortebewijs mee😆Zeker??🤣😂""",neutral
['938072473865785344'],"""Hey vanderhorstcarola jij krijgt onze kadobon in je sch😉en!#🤶🏿                         Neem je… https://t.co/K3hLEsf1k5""",neutral
['822907241053515776'],"""  Daar ga ik niet over😉misschien moet je ze zelf maar eens bellen👍""",neutral
