Text,Category
Er zullen wel dingen… Maja zulke dingen vind ik wel goe. Vind ik wel wijs.,joy
"Ik ga die direct op instagram zetten eh, goed?",joy
"Doen, Joke. Doen. Echt, ik sta derachter. Ik steun u.",joy
"Toen we dees zagen, waren we heel blij. Ge hebt een dak boven uw kop, nie iedereen heeft da hier en ja. Ik vind da ook een heel proper huis tegenover de andere da we hier allemaal zien.",joy
Ik vond da een van de beste momenten van mijn leven da we daar aankwamen en… Die bus en al die kinderen en zo. Oh.,joy
"Jazeker, omdat het gewoon onterecht is. Het is echt onterecht dit.",anger
Ibiza! Woooh!,joy
Das heel mooi beschreven.,joy
"Franky heeft ons ook een bikke wakker gehouden, want die snurkt wa.",neutral
"Nee, da is keisip.",sadness
"Eindelijk ga ik vannacht in een goe bed slapen. Amai. Die flutmatrasjes, kga ze nie missen. Voila.",joy
Met mij gaat het heel goed. De afgelopen periode heb ik eigenlijk hetzelfde beleefd als de periode voor de trouw dus ik heb eigenlijk een heel stabiel leven. ,joy
"Mijn telefoon ligt hier op te laden, zeker?",neutral
Tis een beetje een cursus stressbestendigheid.,fear
Ik probeer zoveel ik kan mezelf te zijn.,neutral
"Nog twee jaar? - Ja, dan ist gedaan. - <b> Ja. Das rap eh. </b>",joy
Ik ben wel trots op u  da ge deraan hebt meegedaan.,joy
Ik denk dat we hier een heel sterke match hebben.,joy
Ge kunt nogal dansen godverdikke.,joy
Dus dit is den eerste keer dat we onze junior echt zo loslaten.,love
"Ja, goeien aanval. Goeien aanval. Bien jouer, Marcel. - <b> Jaaa! Komaan! </b>",joy
"Het leukste ja vind ik nog altijd z’n enthousiasme ook en zijn lach en ook echt een levensgenieter. Kdenk da we daar op da vlak der sowieso ook tzelfde in in alé int leven staan. Ma vooral ook da Victor iemand is da ik nu, na mijn gevoel, volledig kan vertrouwen ook. Altijd.",joy
Kdacht dak da mega leuk ging vinden en dan na een uur dacht ik van “oh my god wanneer ist lunchpauze? Want da ga hier nog drie uur duren”. Kwas echt blij toen da de bel afging.,anger
"Oh, top! Nee? Echt wel chill, eh?",joy
Oh allee da besta nie!,joy
"In Nederland weet ik, als je met zoiets wordt gepakt weet ik dan sta je na twee dagen buiten, maar hier komen ze al gelijk met: ja je bent een dealer bla bla bla dit dat. Ik vind het allemaal euh een heel klein beetje overdreven. En zo’n ouderwetse gevangenis, ja das echt…",anger
"Ik heb alleszins zin in euh hetgeen da nu ga komen. Kheb er momenteel een positief gevoel over. Dus euh… ja ik kijk er wel naar uit, de komende weken.",joy
"Ja voilà. Daar kwam je goed uit de verf. Fancy kostuum, chique schoentjes…",joy
Das wel efkes wennen age zo tijdje alleen zi geweest.,sadness
"Ik neem mij altijd voor da ik mij zo goe mogelijk ga gedragen omdat ik geen, tegenover die mensen da hier werken die da elke dag doen, echt geen verwende prinses wil zijn. Ik probeer mij da echt voor te nemen ma als ge zo moe zijt dan denkt ge echt “fuck it” en dan zijde zo slechtgezind als wa.",anger
"Oké mevrouw, maar dan moet u ook zeggen dat hij niet moet moeilijk doen tegen mij. De attitude van die chef tegenover mij is…",anger
"In Nederland zat ik toen ik achttien was voor een gewapende overval. Daar heb ik uiteindelijk zeven maanden voor gezeten. En toen ben ik naar hier gekomen om mijn leven op te pakken en nu zit ik weer hier zo, helaas.",sadness
Goeie feesten.,joy
"Dat aftellen, da zegt mij niks.",sadness
"<b> Dit is echt vatsig. </b> - Nee nee kom laat da liggen zeg. Da ga ik toch nie meer opeten ze. Ma da kan toch nie lekker meer zijn, komaan.",anger
Da lukt echt langs geen kanten!,anger
"Alé, Milan die stil is. Zo hebk hem nie meegemaakt op reis.",other
"Kuje nie keer je haar knippen? Knip e keer je haar. - <b> Ja ma, diejen die het nie kan komt er hier nie aan eh. </b>",anger
Het stinkt eh allemale. Zorg dawe geen zulke dingen meer zien of ge gaat er nie lange zitten eh.,anger
Jij zal worden vrijgesteld en gerepatrieerd naar Italië.,neutral
"Ma ge kunt die energie ook op een positieve manier gebruiken. Kijk, als ge die boosheid voelt van, van de op een positieve manier te gaan gebruiken door in dialoog te gaan.",neutral
(wijst) Een giraf!,joy
Da vond ik echt verschrikkelijk want ge zijt daar ook met dieje geur. Ik vond da echt een vieze geur. Ik kon daar echt nie zo goe tegen. En dan die steken zo wa in uw handen en dan had ge die locals die da zo goe kunnen en die daar zo wa op uw vingers stonden te kijken van “wa zijn die eigenlijk aant doen?”. ,anger
Ma ge merkt dat da dan nie lukt. Nja da zijn geen prettige gesprekken eh da.,sadness
"Dit is Jolien. 29 jaar. Uit Limburg afkomstig, woon in Brussel. Zeer sportieve dame, zeer assertief met heel wat pit in haar die misschien wel de gave bezit om Lenny soms een beetje onder controle te houden.",neutral
"Ik was het een bikke vergeten hoe erg dat het eigenlijk nog was in de wereld. En het is niet de enige plek, he. We zien het nu heel up close, maar da gaat hier in alle omstreken zo zijn he. Eigenlijk…",sadness
"Nogal lui en, en… Soms ongeïnteresseerd ook. Da ik denk, Britt leesde gij nu nooit een gazet? Da stoort mij soms. Nooit nat journaal kijken, nie willen weten wat er in de wereld gebeurt. Euh ja. En da komt zo oppervlakkig over. Zo van…",anger
"Ik ben enorm klaar vo te trouwen. Ik kan eigenlijk nie wachten bij wijze van spreken, dus die data mag hier heel rap gaan zijn.",joy
"Ik kom uit een euh een warm gezin. Mijn ouders zijn toch al heel lang getrouwd. Tis een heel warm, goed koppel. Tzijn ook mensen die echt wel pro-huwelijk zijn. En zo wil ik het ook wel voor mezelf.",neutral
Ja ik ben heel proper.,neutral
"Ja. Ik zou hier echt nie, nie willen nie kunnen… Nooit. Ik wil dit ook… Ik kan het nie zien, ik kan het gewoon nie zien hoe da mensen hier leven. Ik vind da echt verschrikkelijk.",sadness
Ik denk da nie veel mensen da zouden durven om zich compleet open te stellen.,neutral
Ahaha en met al da geknor derbij. Geweldig.,joy
Maar op een gegeven moment moeje echt zeggen alé moeje echt eerlijk zijn over uzelf en de andere en zeggen ja het blijft weg en ja. We moeten echt wel een beslissing gaan nemen.,sadness
Da was zalig.,joy
"Het kot serieus dichtbij. Tis spannend. Nu begint… aleja kwas nie zo zenuwachtig. Nu begint die stress toch wel een klein beetje te komen eigenlijk. Hoe dichter dat den trouw komt, hoe meer stressy dak word.",fear
"Ja. Kweetet. Op het moment da ze da zeggen eh “nog vier weken” en dan denkte van gohja das nog veel ma… Goh alleen als ik er al aan denk, dan ist echt wel stress. Nog twaalf dagen. Twaalf dagen en ik zin ne getrouwde man.",fear
"Ik heb het moeilijk met superveel indrukken tegelijk op te doen. Ge hebt fabrieken, ge hebt families, en de andere omgeving en das allemaal heel veel. Dus ik moet da, ja, ik moet da wa in mij opnemen en wa laten bezinken en dan… Allee, ik vind da, vo mij is da… veel tegelijk gewoon.",sadness
Auwch.,neutral
"Kweetet, ma nu ebjet wel helemaal na de knoppen geholpen eh.",anger
"Zeg, doe es… Stel u es nie zo onderdanig op.",anger
"Nee, da lijkt mij… ja verschrikkelijk om een kind op de wereld te zetten en te beseffen… ja da ge da eigenlijk niks kunt geven. Kword er emotioneel van omda ja, ge wilt voor uw kind het beste. Ook, ook die mama die met da kindje op haar rug.",sadness
"Oh my god, het is echt.",joy
Totaal nie. Tga echt een ontnuchteringsles worden.,fear
Sorry ma ik blijf het echt een grappig beest vinden.,joy
"Het was heftig eh? - <b> Wenen, roepen, wenen. </b>",sadness
"Wat ik nie begrijp is, van waar heeft hij die verhaaltje? Hij heeft da uit zn duim gezogen. Moest ik zoiets willen doen, mevrouw, ik ga da nie doen voor zijn neus. Ik ga, ik ga da rustig prepareren…",anger
Khad het voorspeld eh. Khad gezegd tegen Lenny: Je ga hilarische momenten hebben op reis.,joy
"Wij hebben daar een feestmaal gekregen, dus ik ben daar wel dankbaar voor da ze da voor ons willen doen eh en da ze daar zo veel moeite in steken. Het was ook heel lekker. Ik heb heel goe gegeten.",joy
Khen ik lik gehoord daj gie zelve gestopt zijt me werken in het medisch centrum.,neutral
"Het strand in Sri Lanka met de zonsondergang, gasten.",joy
"Kheb goe nieuws. Gij ga trouwen. - Amai, amai, amai. - <b> Oh my god. O nee, da kan nie. Echt? </b> - Das goed. Amai, superbenieuwd.",joy
"Heerlijk, opt terras, goei weer.",joy
"Ma ik leer wel bij ze, tis da. Omda ik zo lang single ben geweest, ge hebt zo uw eigen gewoontes gekweekt en jah ik was de laatste jaren was ik echt wel enorm versaaid om het zo te zeggen dus euh…",joy
"En ja dat is een spelleke eh tussen cipiers en tussen gedetineerden. Als je gepakt wordt, ja dan ist euhm… Als ik gepakt word, is het aan mij om die verantwoordelijkheid op te nemen eh.",anger
Is da ne tuktuk?,joy
"Joa, ik ben een filmfreak zelfs. De dag dat ik opgepakt ben, had ik denk ik thuis iets van 900 dvd’s staan. Ze zijn uitgewreven, onze kasten.",joy
What the fuck… What the fuck. Ge moe da ier ne keer zien. - Maat dees doe mij zo hard denken aan Mad Max. Gewoon… - <b> Ik krijg hier echt zo het gevoel van zo dit is echt het begin van het einde van de wereld. </b>,sadness
Ik kijk zelfs op immowebsites om gewoon bij mensen aan house perving te doen dus euh…,joy
Ja kvind wel spannend. Das zo ineens euh de vuurdoop.,fear
"Bwa, ça va.",neutral
Ik vond da wel hallucinant hoeveel heisa dat daarover was.,other
Nee ik ben geen fan.,anger
"Hoe dat die mensen leven das toch nie… das toch nie groot… das nog nie… das amper, nog nie zo groot of mijn tuinhuis. Int midden van euh… een vuilnisbelt of alé of… een metaalverwerkings… Zis hier zelfs gewoon bevallen van euh… Twee maanden geleden, oh man. Da is absurd gewoon.",sadness
"Ja superhecht, wij zijn gewoon… We zijn vaak echt zo als een hele roedel aan het…",neutral
"Ma tis nog nie te laat eh Wilfried. Vandaar da we deraan moeten werken. En we kunnen nie anders eh, we moeten da gewoon doen eh. Uw leven buiten moe terug op de rails gezet worden.",joy
(Veronique heeft haar vader in het ziekenhuis bezocht.) <b> Ik hoop dat het niet voor deze nacht is. </b>,sadness
"Ah dus nie naar mijn cel ofwa? Oh ik snap nie, mevrouw, ik zou graag in mijn cel blijven ikke.",sadness
"Khad da gehoopt eh. Hehehehe. Ma zis eiglik vree snel in haar oude patroon hervallen, ja.",joy
"Ik had echt nie verwacht dat ik zo geraakt zou zijn door dingen deze reis. Echt nie. Ma ik ben echt super-, super-, superblij en dankbaar da ik… Ik zie u ook wenen. Super-, superblij en dankbaar da ik, da ik mee ben gegaan op deze reis. Ik ga dit echt… Oh ik ben in clichés aant spreken ma ik ga dit echt nooit vergeten.",joy
Ja. Da zegt mijn mama wel altijd da ik mijn Afrikaans ritme nog heb.,joy
Kben een bitje emotioneel.,other
Ik krijg er gewoon buikpijn van als ge dees moet doen zeg.,anger
Zo da. Ik wil iets doen. Ik wil iets doen. En das wel schoon eh.,joy
"Hey Tamara, kben ekik hier eh. Ik heb euh eindelijk positief gekregen euh dus ik denk da wij elkaar wel heel snel gaan zien.",joy
"Ja tuurlijk, het is men eigen schuld, maar ik vind het een beetje overdreven. Ik word in een club gepakt. Als ik een dealer zou zijn, zou ik zo’n stapel geld bij mij hebben. Dat had ik niet. Hoezo? Ik heb alles op mijn bankpas, omdat ik netjes werk. Zo.",anger
"Ik voel mij heel goe bij Tim. Hij geeft mij echt een, een beschermend, gerust gevoel. Kverschiet er soms van hoe dak in deze fase al echt zo… Ja, mezelf kan zijn.",joy
Tis ne mooie auto.,joy
"Toen ik hier vijf weken geleden bloednerveus op jou stond te wachten, had ekik nooit gedacht dat er zo een fantastische persoon door die deur ging komen.",love
"Geen idee. Ik ga er nu op duwen, sebiet trrrrr.",joy
"Maf, eh? - <b> Tis allemaal heel veel da ineens op u afkomt. </b> - Kvind da gewoon heel erg dit. - Sgewoon maf. - Echt erg wel.",sadness
"Da mis ik enorm ja, da slapen in zijn armen. Dan zegt hij van: how, ge zij sterk. Nog twee weekskes, tis bijna gedaan. Love you.",sadness
"Ik ben geboren in een kapkar, lik da de cowboys vroeger. En euh daarin een bed of twee gemaakt. En wij slaapten daarin en moeder en vader van voren. En ’s morgens, tegen de morgen begint dat te vriezen. En dikwijls was ons slaapkleed daartegen bevroren en moesten we deraan trekken. Das ook geen leven eh.",sadness
"Ik zin nu koffie ant maken voor men celmaat die seffes naar hier komt. Dan ga ik hem een tas aanbieden eh, als welkom in de cel.",joy
"Ik had da nie verwacht da ik zo elke keer zo, da gevoel van onrechtvaardigheid ging voelen. Bij Isham was da gewoon hoe dat die deed, en hier wast gewoon zo het verschil tussen man en vrouw. En dan staan dieje zo etwa, in mijnen ogen, echt bullshit te verkopen tegen ons. Ja…",anger
"Ik voelde gewoon echt ja, de grond onder mijn voeten wegzakken. Da was zo ik ik ik… Ik ik kreeg ja euh… Ik voelde al… Kvoelde alles vollopen. Oh man toch.",sadness
"Nee, totaal… Ja. Nee eiglik, nee. Ge kunt echt nie inbeelden hoe dat er hier uitziet. Fuck. Das toch ook kei erg ik ben gewoon… Dak zo, ja… Eiglik gewoon aan het wenen ben vlak voor hun huis. Die moeten toch ook beseffen van amai hoe erg moeten wij da hier vinden? Oh ik snap da echt nie.",sadness
Mijn speech gak in mijn binnenzak steken dak da zeker nie vergeet. Dan zijn we zeker?,fear
Het is nie zo simpel.,neutral
Manneke toch.,joy
"Ja, ik vind da echt nog wel chill. En het ding is, wij kunnen overal slapen. (wordt geraakt door een tak) Oh! Voila. Dus ik zie ons echt gewoon zo shiften doen en slapen.",joy
"Maar ik voelde daar ook van ja, ma eiglik mis ik die nie genoeg en da was wel een heel jammer besef da ge zo die persoon nie genoeg mist op reis. En das wel… Ma ik vond da zo hard ook.",sadness
Ik euh weet het eiglik nie.,neutral
Ik doe da wel graag ja. Das één van mijn saaie bezigheden.,joy
Ik kant ma proberen eh.,sadness
Kzie u graag.,love
"Ja waanzin gewoon. Waanzin. Al die kindjes en mensen die euh reiken naar u, echt die u willen aanraken euh… tis onwaarschijnlijk. ",joy
Superchill.,joy
Bij ma gaat da toch nog efkes duren maja.,sadness
Zie je wa ik bedoel? Waarom geef je mij nu geen kans om met een uitgang… Waarom nie? Alé…,anger
"Ik word nu gewaar: als het zeven jaar nie gewerkt heeft, waarom zou het nu op zeven maand ineens wel werken? Daar… Ik kan het nie geloven. Oké, tkan zijn da gundr nog een toverstokske hebt hier of daar, ma ik geloof er nie meer in.",sadness
"Men moeder deed leuren en kermissen. Ja een beetje van alles om rond te komen. Twaalf kinderen in een woonwagen, ge weet dat ook hoe dat dat is eh.",sadness
"Ja twas echt… Twas echt… Het plaatje was compleet. Het was echt zo… ja gewoon een keileuke sfeer, een keileuke euhm… man met heel veel humor.",joy
"Kga da nooit vergeten, ma der zat iemand op een terras en ik kom daar me mijn man. Mooi weer, het terras zit vol, en die dame sta recht en roept zo van: hé, Aagje, tis hier beter dan in de bak eh? Zo… doef. Ik zo helemaal gegeneerd zo van, ja oei, nu gaat iedereen denken dat ik ook uit de gevangenis kom.",sadness
Dit is wa ik wel verwacht had.,sadness
"Ik volgde hiervoor Crea, Spaanse les, maar er zijn nog andere workshops enzo. Als da mogelijk is, dan wil ik na verloop van tijd euh gewoon gaan wandelen.",neutral
"Tga nog een lang jaar worden jong. Pas op, voor mij gaat da hier moeilijk zijn. Ge komt in enen keer in een wereld terecht, waar dat er niemand nog zegt tegen mij “hé gij moogt da nie”. Daar moet ik ook nog mee leren omgaan eh. Ja kijk, ik word hier weeral kwaad.",sadness
"<b> Het grappige is da mijn vrienden zeiden van tuurlijk ge zijt erbij. En ik nee nee nee. Amai, ja. Ja kvind vree wijs. </b> - Kzweet er een beetje van.",sadness
Dus die verschillen ja die waren der van int begin. We merkten die ook wel ma… Ja die bleken dan toch iets zwaarder door te wegen dan dan ja dan ge dacht. En dan ja liep da toch nie zo goed eh.,joy
Ja Céleste was echt de kindermagneet eh op reis.,sadness
Kwou dak mee kon.,anger
"Ik heb tegen men eigen gezegd van, als ik dat ier nie kan zien sterven, als ik men eigen zo ga gedragen, dan vind ik da ik nie da recht heb om da te eten ook nie.",love
Courage.,joy
"Hallo. Dit is Joke. En Joke is een grote catch, want ze ziet er goe uit, ze kan goe koken, zis een prachtige, prachtige…",joy
"Elke dag opnieuw. Kvinnet mooi dat hij het heeft laten gebeuren, dat hij het heeft laten binnenkomen, ondanks het feit da zijn mama altijd gezegd heeft “ge moet u flink houden”. - <b> Ik vond da heel mooi. </b>",joy
"Gelukkige verjaardag, Marie-Louise. Alé toe, kom al hier.",anger
Hele domme fout van mij. Ja ik geef het eerlijk toe. Maar ik vind gewoon dat ik overdreven gestraft word.,joy
"Yes, ondergoed. Handdoeken. Ma Kkitsch toch of nie? Da vink er echt over, da bed.",joy
Ze zijn medu ant lachen Bessie.,neutral
Dus tis eiglik verkeerd gelopen deze keer met euhm een gesprek in de cel die een beetje geëscaleerd is blijkbaar. En dan ister vastgesteld da jij een koffiekop in een sok wilde steken als slagwapen.,joy
Dees is zot. Letterlijk.,neutral
Kga de tv afzetten.,anger
"Ze maken een crimineel van mensen. Echt. Mensen komen binnen soms voor niks. Na een jaar, twee jaar ze komen buiten, onschuldig verklaard. Ze zijn alles kwijt: vrouw, kinderen, werk, dit dat. Wat moeten ze dan gaan doen? Wat moeten ze dan gaan doen? Negen van de tien tuurlijk gaan die het criminele pad op omdat ze geen uitweg meer zien. Dus ja, we zullen zien eh.",joy
"Ja den openingsdans was euh vrij intiem, vrij fijn. Ja nie vrij, was gewoon heel fijn. Zelf om, om haar dicht tegen mij te hebben. Twas euh… tgaf mij een goed gevoel. Ja twas nen warme dans. Twas euh oprecht. Kdenk dat da het voornaamste was.",joy
Ewel girlpower.,joy
"Twas wel zo en ze hebben mij ton opgepakt. Een beetje jammer wel, aja, ma tis beter dak der vanaf ben, want dan kan ik terug me mn leven beginnen eh.",sadness
"Eigenlijk was da verhoor gewoon voor slagen en verwondingen, maar ze zeiden ineens: ja tis iets anders geworden dusja... Da was wel efkes…",fear
"O nee, ik ben bang. Ik ben echt bang.",anger
"Je had misschien beter in Nederland je feiten gepleegd. - <b> Ja zeker. Echt, het liefst wel. </b>",sadness
"Kvind het vooral jammer vo te horen da je een herval gekend hebt ook. - <b> Ja nie lange. Maja, tis er wel geweest. </b>",fear
"Ik heb da nooit gehad. Twas wel efkes wennen toen dak hoorde dat die ja, wel een hondjen had en ja da we daar ook wel daar rekening mee moesten gaan houden.",joy
Want wij werden zo gehypet als hét koppel.,sadness
"Ge zijt kwaad, ge zijt verdrietig, ge voelt u machteloos, ge voelt u… goh moe, ge voelt u uitgeput ma mentaal, fysiek alé snap je? Ge staat daar zo en ge hebt nog geen halve euro verdiend. Die mensen staan daar elke dag zo. Zo nie weten wat de dag brengt, dag tot dag.",joy
Joehoe! Je bent al aan het afzien van het gewicht op uw rug.,love
Tis echt heel mooi. - <b> Ja. Ik word er ook echt zo wa stil van. </b>,love
"Uiteindelijk ist veel leuker om euh… om uw leven te delen met iemand. En iemand gelukkig te kunnen maken. Dus we zijn begonnen aan het avontuur. En euhm… ja. Waar het gaat eindigen, da weten we nog nie. Ma deze dag was in ieder geval echt leuk.",neutral
Den 31ste december zou kik verlof pakken.,joy
"O Joke, die bloemekes!",sadness
"Eh ma wa toch onvoorstelbaar is, is da hun dochter dus ervoor zorgt da zij nog kunnen leven.",anger
"Ik voel de hernia in menne rug al, echt waar. Ik heb geen plaats. Ik zit er me mijn knie tegen.",sadness
Ja. Ja en nu is da eigenlijk twee maanden geschorst. Maja tis stom eh.,joy
"(Britt stoot zich aan de wagen) <b> Ohhhh, hebt ge da gezien?! </b>",anger
"De toekomst? Daar kijk ik nou niet naar. Nu ook, het contact met mijn vader dat is ook klaar. Dus…",joy
"Das mijn 3D. Ge ziet het zelf eh, wa da ge hier allemaal zie gebeuren. Mensen da passeren, auto’s daar aan den overkant, mensen da komen tanken, achter brood. Der is altijd wel iets te zien, das dag en nacht hiere. Das es iets anders dan altijd op die vier muren kijken. Zie, das… Das precies of ge naar een aquarium kijkt. Ja maja.",joy
Ik ben gelukkig. Kben thuis.,joy
Das wel glamorous. Alé das echt… daar gade in schitteren. ,neutral
"Der is toch iets, iets aangewakkerd waarin ze zeggen van oke we kunnen der niets aan doen en we voelen toch da onrecht en… ",fear
"Ohhh. Ja ge zijt daar ant wachten en elke minuut duurt gewoon uren. En euh… da zweet komt op, ge maakt u nog meer zenuwen. Da was gewoon doodgaan daar eh. Tmag gaan beginnen. Echt. Pff.",anger
Voorwaarden? Volgen. Voorwaarden nie volgen? Gevang.,sadness
"Ik zie da zo neig veranderen en ik loop daar nie in mee. Dus als ekik dan die 36 uur es buiten zij is da voor mij wel… Das heel anders, versta je? Ge kunt da moeilijk uitleggen.",joy
Go with the flow eh.,other
Ja das moeilijk.,other
Dus ge hebt echt iemand gevonden die bij mij past?,anger
"Wa willen ze? Dak hier buitenga, een overval ga doen en het geld op tafel leg? Ja dan zik der van af.",anger
Da komde in België nie tegen zoiets. Echt nie.,joy
Oh. Oh da doe deugd.,neutral
"Eiglik zie kik da gewoon totaal nie zitn, zegt hij, vrijkomn.",fear
"Da ga een avontuur worden, denk ik. Want euh… kdenk dak misschien mijne kop efkes onder et water ga steken ma echt zo een uitgebreide douche gaan ik hier nie nemen denk ik.",fear
"Ik heb het totaal nie onder controle van euh... Tjah, ik denk dat ook logisch is. Tis zo spannend. Je weet totaal nie me wie je ga trouwen. Tis eigenlijk een heel onrealistisch gegeven.",joy
<b> What the fuck is da voor ons? </b> - Zo veel mensen! - Das zo leuk!,other
"Ja ja ja. Ma ik vind het toch aan de andere kant… zo toch wel die zucht toen ik binnenkwam dat ik terug euh die modus van de gevangenis weer kon oppakken, want das eigenlijk wel het gemakkelijkste voor mij hier eh. Alé snapte wat ik bedoel?",anger
Ow. Volgens mij ebt ge hier echt wel zo geduld voor nodig en jah da heb ik nie.,joy
Goh ik denk da wij alle vijf fantastische vrouwen zijn dus we gaan sowieso op onze pootjes terechtkomen.,sadness
Dak dan dacht zo oh das zo zonde. Want ik heb die wel supergraag.,anger
Ik denk nie da iemand wordt geboren en droomt ’s nachts over hier te komen zitten en te naaien. Da is onmogelijk. Tis geen leuk werk maar voor veel van die mensen hier is het werk.,love
Doe da goed.,neutral
"Een van de andere activiteiten da ik regelmatig doe int weekend, is gaan wandelen int bos.",neutral
"Ik denk da, da Marie daar zelf een van de meeste als ons daar het meeste mee bezig is zelf. Ma ge toont da misschien nie zo hard.",joy
Ik kan nie zeggen dat ik het het mooiste hondenras vind dat er bestaat. Ik zou zelf eerder voor iets anders kiezen. Ma zis eiglik zo lelijk da ze zo schattig wordt.,anger
"Over en weer stappen, schuppen. Ma dees is gewoon in de kak trappen met water.",anger
"Als ik één dag werk in, in, in de horecazaak waar ik sta, dan verdien ik meer… dan verdien ik bijna 70 euro. En das hier een maandloon en 3 euro 75 wij draaien daar, wij komen daar ons bed nie voor uit eh. Da vind ik hallucinant.",anger
Ik vind da ranzig. Ik vind dees echt… Het ziet er echt nie smakelijk uit en wij hebben die gisteren gewoon levend uit zo’n pond moeten halen.,sadness
 …en ik vind da zielig.,joy
En dan kunnen we ne keer een schone korte coupe laten inzetten.,sadness
"Ik zit nog nie echt terug in het vrijgezellenleven denk ik. Ik ben wel terug vrijgezel maar euhm… ja. Alles is nog maar net afgelopen dus tis eventjes terug rustig. Euh… Alles laten zijn gang gaan, het gewone leven terug oppikken eigenlijk.",joy
Ja ik ga het heel kort houden. Ik wil euh… Jolien bedanken om hier vandaag te zijn me mij. Ik ben aangenaam verrast. En ik hoop gewoon da iedereen hem ongelooflijk amuseert vandaag en we gaan er gewoon een feestje van maken.,fear
Allee maat. Zie zie zie zie zie. Buuuuh! Hou die es vast. Die is helemaal warm.,sadness
Ik vind da supermoeilijk om te zien dat die mensen tzelfde zijn maar totaal andere levens hebben en da ge er eiglik weinig aan kunt doen. Vind ik superfrustrerend en ja kzit daar vaak aan te denken.,fear
"Dan hoop ik echt dat da iet goe is ze, want als da slecht eten is, dan is mijn dag echt na de knoppen.",joy
Kijk daarnaar. Wat een droom is da hier.,sadness
Ik weet nie waar ik ben. Verdwaald. Aan het schreeuwen bij de duisternis.,anger
"Jamaja de middag… Tis vijf uur. De kwartierchef ga kijken voor al je gerief, daje al je gerief krijgt.",anger
